PlayTime,carspeed,isbooster
0.0,0.3924,False
0.0,0.7848,False
0.4,7.063198,False
0.5,0.3270473,False
0.6,0.09008266,False
0.6,0.05729812,False
0.7,0.05729812,False
0.7,0.04630678,False
0.7,0.04630678,False
0.7,0.03667452,False
0.7,0.02855636,False
0.7,0.02189078,False
0.7,0.02189078,False
0.7,0.01659062,False
0.8,0.01659062,False
0.8,0.01241726,False
0.8,0.009184763,False
0.8,0.009184763,False
0.8,0.00671873,False
0.8,0.004863246,False
0.8,0.003478028,False
0.9,0.003478028,False
0.9,0.002460079,False
0.9,0.001716458,False
0.9,0.001716458,False
0.9,0.00119851,False
0.9,0.00119851,False
0.9,0.0008042988,False
0.9,0.0005343525,False
1.0,0.0003537296,False
1.0,0.0002290589,False
1.0,0.0002290589,False
1.0,0.0001456254,False
1.0,7.976942E-05,False
1.0,6.208781E-05,False
1.1,6.208781E-05,False
1.1,5.162927E-05,False
1.1,5.162927E-05,False
1.1,5.022504E-05,False
1.1,4.87584E-05,False
1.1,4.87584E-05,False
1.1,5.187952E-05,False
1.1,5.187952E-05,False
1.2,5.003392E-05,False
1.2,4.964078E-05,False
1.2,4.964078E-05,False
1.2,4.923892E-05,False
1.2,4.879748E-05,False
1.2,4.879748E-05,False
1.2,4.859017E-05,False
1.2,4.859017E-05,False
1.3,4.850727E-05,False
1.3,4.864036E-05,False
1.3,4.864036E-05,False
1.3,4.898529E-05,False
1.3,4.898529E-05,False
1.3,4.854774E-05,False
1.3,4.878763E-05,False
1.4,0.6998131,False
1.4,1.342331,False
1.4,1.979559,False
1.4,1.979559,False
1.4,2.611505,False
1.4,2.611505,False
1.4,3.23794,False
1.4,3.858601,False
1.5,3.858601,False
1.5,4.485404,False
1.5,4.485404,False
1.5,4.766364,False
1.5,5.53194,False
1.5,5.53194,False
1.5,6.256081,False
1.5,6.958095,False
1.6,6.958095,False
1.6,7.143406,False
1.6,7.143406,False
1.6,7.885252,False
1.6,8.523914,False
1.6,8.523914,False
1.6,9.218634,False
1.6,9.218634,False
1.7,9.591672,False
1.7,10.27394,False
1.7,10.74562,False
1.7,10.74562,False
1.7,11.39765,False
1.7,11.39765,False
1.7,11.84914,False
1.7,11.84914,False
1.8,12.47183,False
1.8,12.91992,False
1.8,12.91992,False
1.8,14.26951,True
1.8,14.26951,True
1.8,15.41111,True
1.8,16.70566,True
1.8,16.70566,True
1.9,17.81773,True
1.9,19.0611,True
1.9,19.0611,True
1.9,20.14757,True
1.9,20.14757,True
1.9,21.34046,True
1.9,22.39958,True
1.9,22.39958,True
1.9,23.54289,True
2.0,23.54289,True
2.0,24.57197,True
2.0,25.6662,True
2.0,26.6625,True
